ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
mobile-combustion,fuel-amount-method,fuel,Biofuel,Bio Petrol,,l,"  0,01402",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Bio Petrol,,kg,"  0,01891",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel HVO,,l,"  0,03558",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel HVO,,kg,"  0,04562",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel ME,,l,"  0,16751",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel ME,,kg,"  0,18822",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel ME (from tallow),,l,"  0,16751",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel ME (from tallow),,kg,"  0,18822",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,l,"  0,16751",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biodiesel ME (from used cooking oil),,kg,"  0,18822",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Bioethanol,,l,"  0,00901",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Bioethanol,,kg,"  0,01135",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biomethane (compressed),,l,,,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biomethane (compressed),,kg,"  0,00521",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biomethane (liquified),,l,,,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biomethane (liquified),,kg,"  0,00521",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biopropane,,l,"  0,00214",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Biopropane,,kg,"  0,00415",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Methanol (bio),,l,"  0,00676",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Methanol (bio),,kg,"  0,00851",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Off road biodiesel,,l,"  0,16751",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Off road biodiesel,,kg,"  0,18822",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Renewable petrol,,l,"  0,01059",,
mobile-combustion,fuel-amount-method,fuel,Biofuel,Renewable petrol,,kg,"  0,01188",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,CNG,,tonne,"2539,25",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,CNG,,l,"  0,44",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,LNG,,tonne,"2559,17",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,LNG,,l,"  1,16",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,LPG,,tonne,"2939,29",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,LPG,,l,"  1,56",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,Propane,,tonne,"2997,55",,
mobile-combustion,fuel-amount-method,fuel,Gaseous fuels,Propane,,l,"  1,54",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Aviation spirit,,tonne,"3192,76",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Aviation spirit,,l,"  2,33",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Aviation turbine fuel,,tonne,"3181,43",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Aviation turbine fuel,,l,"  2,55",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Diesel (100% mineral diesel),,tonne,"3208,76",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Diesel (100% mineral diesel),,l,"  2,70",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Diesel (average biofuel blend),,tonne,"3032,89",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Diesel (average biofuel blend),,l,"  2,56",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Fuel oil,,tonne,"3229,20",,
mobile-combustion,fuel-amount-method,fuel,Liquid fuels,Fuel oil,,l,"  3,18",,
